id,label,sentence,pos
782,0,The third point is our tickets were not reduced at all !,DT JJ NN VBZ PRP$ NNS VBD RB VBN IN DT . 
12,0,What are you going to do without a phone ?,WP VBP PRP VBG TO VB IN DT NN . 
1212,1,Now I have a cold because it was so cold evening .,RB PRP VBP DT NN IN PRP VBD RB JJ NN . 
171,0,But everything was terrible and different to your advertisement .,CC NN VBD JJ CC JJ IN PRP$ NN . 
598,0,You should have let us have that information in advance .,PRP MD VB VBN PRP VB DT NN IN NN . 
1239,1,I think that good shopping depends on ourself .,PRP VBP IN JJ NN VBZ IN NN . 
260,0,Then how has it changed our daily life ?,RB WRB VBZ PRP VBD PRP$ JJ NN . 
925,0,Is n't it a great opportunity for us ?,VBZ RB PRP DT JJ NN IN PRP . 
1324,1,I 'm very happy to receive some news about you .,PRP VB RB JJ TO VB DT NNS IN PRP . 
678,0,I have lots of memories which I could never forget .,PRP VBP NNS IN NNS WDT PRP MD RB VB . 
1113,1,"To sum up , I believe your advertisement completely misled .","TO VB RP , PRP VBP PRP$ NN RB VBD . "
704,0,But you must always be on your guard against pickpockets .,CC PRP MD RB VB IN PRP$ NN IN NNS . 
332,0,But everyone always saw from his face he had a secret .,CC NN RB VBD IN PRP$ NN PRP VBD DT NN . 
355,0,You should go there .,PRP MD VB RB . 
138,0,I play guard on my team .,PRP VBP NN IN PRP$ NN . 
381,0,This is not a taboo subject with me and my friends .,DT VBZ RB DT JJ NN IN PRP CC PRP$ NNS . 
292,0,They keep claiming that there 's nothing better than shopping .,PRP VBP VBG IN EX VBZ NN JJR IN NN . 
1100,1,That goes quicker and it is easier for me .,DT VBZ RBR CC PRP VBZ JJR IN PRP . 
771,0,"Dear Mrs Ryan ,",JJ NNP NNP . 
141,0,I am good at timing on swimming .,PRP VBP JJ IN NN IN NN . 
691,0,Technology will not stop growing and helping people in the future .,NN MD RB VB VBG CC VBG NNS IN DT NN . 
1182,1,There is a academic building .,EX VBZ DT JJ NN . 
560,0,"That means , our security system will be much stronger .","RB VBZ , PRP$ NN NN MD VB RB JJR . "
139,0,I also like tennis but I am not very good .,PRP RB VBP NN CC PRP VBP TO RB JJ . 
1329,1,The architecture bring you back into the old time .,DT NN VBP PRP RP IN DT JJ NN . 
1102,1,"Secondly , some concerts took a place in really small halls .","RB , DT NNS VBD DT NN IN RB JJ NNS . "
224,0,"Today , this kind of thing hardly ever happens !","NN , DT NN IN NN RB RB VBZ . "
582,0,They are addicted to buying things .,PRP VBP JJ TO VBG NNS . 
274,0,I had a lot of fun there .,PRP VBD DT NN IN NN RB . 
323,0,Further I would prefer a tent .,RB PRP MD VB DT NN . 
1057,1,"It 's nonsense , was n't it ?","PRP VBZ NN , VBD RB PRP . "
409,0,Do I need to take very many clothes ?,VBP PRP VB TO VB RB JJ NNS . 
325,0,In the advertisement you told me I would get a discount .,IN DT NN PRP VBD PRP PRP MD VB DT NN . 
599,0,I have been the happiest woman since I got your letter .,PRP VBP VBN DT JJS NN IN PRP VBD PRP$ NN . 
299,0,Instead of hating shopping they would enjoy shopping .,RB IN VBG VBG PRP MD VB VBG . 
1235,1,They grow up and became wise .,PRP VBP RP CC VBD JJ . 
792,0,"Dear Mrs Smith ,","JJ NN NNP , "
551,0,That 's the nature of human beings .,DT VBZ DT NN IN NN NNS . 
1254,1,"Every Friday , they enjoy a special game for check vocabulary .","DT NNP , PRP VBP DT JJ NN IN VB NN . "
721,0,I got up very early .,PRP VBD RP RB RB . 
1220,1,And their life passed in the ways .,CC PRP$ NN VBD IN DT NNS . 
778,0,"First of all , thank you for the good programme .","RB IN DT , VBP PRP IN DT JJ NN . "
715,0,A lot of circumstances will arise .,DT NN IN NNS MD VB . 
839,0,I was really pleased to receive your letter .,PRP VBD RB JJ TO VB PRP$ NN . 
610,0,"Nowadays , fashion plays a big role in our daily life .","RB , NN VBZ DT JJ NN IN PRP$ JJ NN . "
949,1,The servants from the Moon picked her up to the Moon .,DT NNS IN DT NN VBD PRP RP IN DT NN . 
736,0,I am quite good at tennis .,PRP VBP RB JJ IN NN . 
628,0,I hope you will take my proposal into consideration .,PRP VBP PRP MD VB PRP$ NN IN NN . 
730,0,science and technology are mainly responsible for this .,NN CC NN VBP RB JJ IN DT . 
1092,1,Also I got two questions to ask you .,RB PRP VBD CD NNS TO VB PRP . 
479,0,It was very nice to hear from you .,PRP VBD RB JJ TO VB IN PRP . 
617,0,I am very pleased to be the winner in your competition .,PRP VBP RB JJ TO VB DT NN IN PRP$ NN . 
1325,1,But it happenned the opposite .,CC PRP VBD DT NN . 
321,0,You can talk to all people living all around the world .,PRP MD VB IN DT NNS VBG RB IN DT NN . 
885,0,I was exhausted when the concert finished .,PRP VBD JJ WRB DT NN VBD . 
1112,1,I have got a few things to complain about your theart .,PRP VBP VBD DT JJ NNS TO VB IN PRP$ NN . 
898,0,"Dear manager of the theatre ,",JJ NN IN DT NN . 
1047,1,I am very disappointing at this evening 's show .,PRP VBP RB JJ IN DT NN POS NN . 
1259,1,This scaring dark is still affecting my life now .,DT VBG NN VBZ RB VBG PRP$ NN RB . 
39,0,The first thing that disappointed me was the star .,DT JJ NN WDT VBD PRP VBD DT NN . 
30,0,The quality of life is very low .,DT NN IN NN VBZ RB JJ . 
242,0,My friends and I demand our money back very soon .,PRP$ NNS CC PRP VBP PRP$ NN RB RB RB . 
739,0,I am not a typical woman because I hate shopping !,PRP VBP RB DT JJ NN IN PRP VBP NN . 
1234,1,I can buy something from internet .,PRP MD VB NN IN NN . 
136,0,I hope you consider these suggestions .,PRP VBP PRP VBP DT NNS . 
310,0,Thanks for your letter .,NNS IN PRP$ NN . 
1127,1,But cars created pollution : for exemple the green house effect .,CC NNS VBD NN : IN NN DT JJ NN NN . 
584,0,I 'd like to suggest this - concerning plays and films .,PRP MD VB TO VB DT HYPH VBG NNS CC NNS . 
478,0,It seems that going shopping is a reason for living .,PRP VBZ IN VBG VBG VBZ DT NN IN NN . 
1213,1,You will have a good time for shopping .,PRP MD VB DT JJ NN IN NN . 
1108,1,Evenmore we can enjoy our night with lights .,RB PRP MD VB PRP$ NN IN NNS . 
1342,1,I could n't change his mind although I 've tried everything .,PRP MD RB VB PRP$ NN IN PRP VBP VBN NN . 
1231,1,"On the other side , I feel free at home .","IN DT JJ NN , PRP VBP JJ IN NN . "
3,0,"Therefore , it is impossible for journalists to stop chasing them .","RB , PRP VBZ JJ IN NNS TO VB VBG PRP . "
111,0,A different actor appeared instead of him .,DT JJ NN VBD RB IN PRP . 
924,0,Her servants from the Moon carried her up to the Moon .,PRP$ NNS IN DT NN VBD PRP IN IN DT NN . 
1166,1,It was very interesting experience for me .,PRP VBD RB JJ NN IN PRP . 
1178,1,It could be good memorable thing for me .,PRP MD VB JJ JJ NN IN PRP . 
1033,1,Have you ever imagined that you would drive electric car !,VBP PRP RB VBN IN PRP MD VB JJ NN . 
650,0,"At golf , we are both total beginners .","IN NN , PRP VBP RB JJ NNS . "
938,0,After the concert I left with Ricky Martin .,IN DT NN PRP VBD IN NNP NNP . 
376,0,But neither Kim nor anyone else found Pat .,CC CC NNP CC NN JJ VBD NNP . 
1089,1,More and more people are connecting through the net .,JJR CC JJR NNS VBP VBG IN DT NN . 
453,0,I hope to hear from you soon,PRP VBP TO VB IN PRP RB 
1106,1,Take care of youself .,VB NN IN PRP . 
314,0,I am a beginner at swimming and also at singing .,PRP VBP DT NN IN NN IN RB IN NN . 
439,0,I liked seeing their way of life .,PRP VBD VBG PRP$ NN IN NN . 
442,0,"I think of an internet . """,PRP VBP IN DT NN . `` 
1347,1,I do not want to spend much time with computers .,PRP VBP RB VB TO VB JJ NN IN NNS . 
319,0,There 're even computer chips in cars and washing machines .,EX VBP RB NN NNS IN NNS CC NN NNS . 
852,0,The statue is protected by guards .,DT NN VBZ VBN IN NNS . 
1067,1,Please do not hesitate to contact me for some more information .,UH VB RB VB TO VB PRP IN DT JJR NN . 
5,0,"Technology improves our lives ,","NN VBZ PRP$ NNS , "
100,0,I was just 15 years old .,PRP VBD RB CD NNS JJ . 
424,0,I 'd like to do climbing and sailing .,PRP MD VB TO VB NN CC NN . 
803,0,It will be a fantastic experience for me .,PRP MD VB DT JJ NN IN PRP . 
1310,1,"At that time he was unconcious ,","IN DT NN PRP VBD JJ , "
624,0,"Unfortunately , Pat was n't good at keeping secrets .","RB , NNP VBD RB JJ IN VBG NNS . "
936,0,"In particular , the sightseeing by bus should be enjoyable .","IN NN , DT NN IN NN MD VB JJ . "
423,0,I have sent you some photographs of me with the band .,PRP VBP VBN PRP DT NNS IN PRP IN DT NN . 
1023,1,A pop concert had ten pop bands .,DT NN NN VBD CD NN NNS . 
767,0,What 's my fund limit ?,WP VBZ PRP$ NN NN . 
636,0,Pat is one of my colleagues from the office .,PRP VBZ NN IN PRP$ NNS IN DT NN . 
1103,1,That made me so disappointed .,DT VBD PRP RB JJ . 
1031,1,Who know ?,WP VBP . 
227,0,It was this last point that got me angry .,PRP VBD DT JJ NN WDT VBD PRP JJ . 
1124,1,That was very disapponted .,DT VBD RB JJ . 
697,0,"No , I 'm only a daughter of technology .","UH , PRP VBP RB DT NN IN NN . "
1334,1,- of benefice and each us take 400 .,HYPH IN NN CC DT PRP VB CD . 
807,0,I think not .,PRP VBP RB . 
66,0,Can you imagine the new house ?,MD PRP VB DT JJ NN . 
1211,1,In basketball I have more practise then in tennis .,IN NN PRP VBP JJR NN IN IN NN . 
813,0,"However , those days were unforgettable for me .","RB , DT NNS VBD JJ IN PRP . "
211,0,I do n't have any equipment .,PRP VBP RB VB DT NN . 
1203,1,Also I think that dance shows should include different styles of dancing,RB PRP VBP IN NN NNS MD VB JJ NNS IN NN 
588,0,Next thing you have to do is try them on .,JJ NN PRP VBP TO VB VBZ VB PRP RP . 
903,0,That replacement really disappointed me .,DT NN RB VBD PRP . 
1296,1,We could be filmed the class room too .,PRP MD VB VBN DT GW NN RB . 
1337,1,Will it be possible to join a surf school ?,MD PRP VB JJ TO VB DT NN NN . 
1308,1,he just has sweet-looking .,PRP RB VBZ JJ . 
752,0,"Dear Mrs Smith ,",JJ NN NNP . 
543,0,We were hungry and angry this time .,PRP VBD JJ CC JJ DT NN . 
1216,1,It takes five minutes to get my college by walking .,PRP VBZ CD NNS TO VB PRP$ NN IN VBG . 
858,0,Another one is how much money I have to bring .,DT NN VBZ WRB JJ NN PRP VBP TO VB . 
1262,1,I was draged to learn sailing .,PRP VBD VBN TO VB VBG . 
1006,1,"I mean , I wo n't get sick in them !","PRP VBP , PRP MD RB VB JJ IN PRP . "
273,0,"Except in some very extraordinary cases , no .","IN IN DT RB JJ NNS , UH . "
594,0,We look forward to hearing from you regarding this matter .,PRP VBP RB IN VBG IN PRP VBG DT NN . 
362,0,Do I need a passport to travel ?,VBP PRP VB DT NN TO VB . 
2,0,The tower is absolutely marvellous .,DT NN VBZ RB JJ . 
6,0,We can love them without disturbing them too .,PRP MD VB PRP IN VBG PRP RB . 
311,0,"Dear Mrs Clark ,",JJ NN NNP . 
1195,1,How much money I can spent during this time ?,WRB JJ NN PRP MD VBD IN DT NN . 
770,0,"Especially , it does not cost anything at all for students .","RB , PRP VBZ RB VB NN IN DT IN NNS . "
1333,1,I am writing to explain some aspects about your show .,PRP VBP VBG TO VB DT NNS IN PRP$ NN . 
215,0,I would like to choose surfing as my second activity .,PRP MD VB TO VB NN IN PRP$ JJ NN . 
820,0,I am sure everybody likes one of them .,PRP VBP JJ NN VBZ CD IN PRP . 
27,0,Let me answer these questions .,VB PRP VB DT NNS . 
943,0,"I hope you are doing well ,","PRP VBP PRP VBP VBG RB , "
710,0,"You are on the road , you have a car accident .","PRP VBP IN DT NN , PRP VBP DT NN NN . "
1205,1,"Firstly , Danny Brook did not act as you had said .","RB , NNP NNP VBD RB VB IN PRP VBD VBN . "
621,0,We do n't have to know about their every second .,PRP VBP RB VB TO VBP IN PRP$ DT NN . 
679,0,"For the activities , I choose the golf and the surfing","IN DT NNS , PRP VBP DT NN CC DT NN "
695,0,"On the night of the concert , I worked as well .","IN DT NN IN DT NN , PRP VBD RB RB . "
256,0,Please answer my letter as soon as possible .,UH VB PRP$ NN RB RB IN JJ . 
25,0,Another problem I had was with the time of the performance .,DT NN PRP VBD VBD IN DT NN IN DT NN . 
336,0,It will be in the Central Exhibition Hall in London .,PRP MD VB IN DT NNP NNP NNP IN NNP . 
47,0,"Personally , I do think televisions are the most important invention .","RB , PRP VBP VB NNS VBZ DT RBS JJ NN . "
106,0,In fact all the audience were very disappointed .,IN NN PDT DT NN VBD RB JJ . 
1011,1,I usually stay a tent during camping .,PRP RB VBP DT NN IN VBG . 
55,0,The uniform we wear has to be perfect .,DT NN PRP VBP VBZ TO VB JJ . 
665,0,I would never have expected that I could be so deceived .,PRP MD RB VB VBN IN PRP MD VB RB JJ . 
213,0,A log cabin does n't sound like a camping holiday .,DT NN NN VBZ RB VB IN DT NN NN . 
120,0,It was a perfectly terrible evening out .,PRP VBD DT RB JJ NN RB . 
754,0,I am a student at London College studying English .,PRP VBP DT NN IN NNP NNP VBG NNP . 
921,0,But in the newspaper there was said to be a discount .,CC IN DT NN EX VBD VBN TO VB DT NN . 
72,0,"In fact , I had .","IN NN , PRP VBD . "
643,0,And that made the concert absolutely perfect .,CC DT VBD DT NN RB JJ . 
1255,1,So you would spend more money you have expected .,RB PRP MD VB JJR NN PRP VBP VBN . 
45,0,Now I will give you the information which you asked for .,RB PRP MD VB PRP DT NN WDT PRP VBD IN . 
1013,1,I dared to ask him and he told me his truth .,PRP VBD TO VB PRP CC PRP VBD PRP PRP$ NN . 
523,0,I look forward to receiving a reply to my enquiry .,PRP VBP RB IN VBG DT NN IN PRP$ NN . 
712,0,Although you mentioned them in your advertisement .,IN PRP VBD PRP IN PRP$ NN . 
707,0,I am writing to you about your questions .,PRP VBP VBG IN PRP IN PRP$ NNS . 
654,0,I might have lots of chances to take photos of beautiful countryside,PRP MD VB NNS IN NNS TO VB NNS IN JJ NN 
533,0,The tube is line 2 which is red .,DT NN VBZ NN CD WDT VBZ JJ . 
465,0,That is why I ca n't swim yet .,DT VBZ WRB PRP MD RB VB RB . 
882,0,"Suddenly , the burglar alarm came on .","RB , DT NN NN VBD RB . "
1155,1,"actually he is n't different from other boys at all ,","RB PRP VBZ RB JJ IN JJ NNS RB RB , "
982,1,That 's the best suitable accomodation for a camping .,DT VBZ DT JJS JJ NN IN DT NN . 
60,0,"However , it was closed because it was being decorated .","RB , PRP VBD JJ IN PRP VBD VBG VBN . "
92,0,Or would our house itself be alive ?,CC MD PRP$ NN PRP VBZ JJ . 
579,0,"Or do you think , an ice age will come ?","CC VBP PRP VB , DT NN NN MD VB . "
194,0,Only teachers can use them .,RB NNS MD VB PRP . 
280,0,Hope to hear from you soon,VB TO VB IN PRP RB 
359,0,Another one appeared in the show .,DT PRP VBD IN DT NN . 
519,0,We were enjoying ourselves at her home celebrating her birthday .,PRP VBD VBG PRP IN PRP$ NN VBG PRP$ NN . 
1000,1,I 'm looking forward to hearing you again .,PRP VBP VBG RB IN VBG PRP RB . 
634,0,It is one of the hobbies for women especially .,PRP VBZ CD IN DT NNS IN NNS RB . 
182,0,We ca n't listen to music in class either .,PRP MD RB VB IN NN IN NN RB . 
110,0,Have you ever thought about a world without the phone ?,VBP PRP RB VBN IN DT NN IN DT NN . 
893,0,And said just be careful .,CC VBD RB VB JJ . 
1164,1,"Secondly , for some points , it can educate young children .","RB , IN DT NNS , PRP MD VB JJ NNS . "
204,0,We see on the advertisement that discounts are available .,PRP VB IN DT NN IN NNS VBZ JJ . 
1343,1,I 'm writing to give you the information you wanted .,PRP VBP VBG TO VB PRP DT NN PRP VBD . 
1022,1,I hope I 'll be able to travel on July .,PRP VBP PRP MD VB JJ TO VB IN NNP . 
545,0,With it people do their work more quickly and successfully .,IN PRP NNS VBP PRP$ NN RBR RB CC RB . 
816,0,It made me so disappointed and angry .,PRP VBD PRP RB JJ CC JJ . 
1008,1,"In a bamboo forest , he found a shining bamboo .","IN DT NN NN , PRP VBD DT VBG NN . "
700,0,"It sounds easy , just doing the lighting .","PRP VBZ JJ , RB VBG DT NN . "
622,0,Can you give me this information ?,MD PRP VB PRP DT NN . 
183,0,You asked me about an interesting building to visit .,PRP VBD PRP IN DT JJ NN TO VB . 
137,0,Visitors could learn plays with professionals .,NNS MD VB NNS IN NNS . 
798,0,"However , there was something good for me .","RB , EX VBD NN JJ IN PRP . "
80,0,"It takes 25 minutes , which is convenient for us .","PRP VBZ CD NNS , WDT VBZ JJ IN PRP . "
1098,1,"There were nor bridge nor a canoe ,","EX VBD CC NN CC DT NN , "
1001,1,I am looking forward to your reply letter .,PRP VBP VBG RB IN PRP$ NN NN . 
541,0,I 'm very disappointed by all these problems !,PRP VBP RB JJ IN PDT DT NNS . 
1312,1,I also needed some information on the money I will take .,PRP RB VBD DT NN IN DT NN PRP MD VB . 
480,0,Do I need a lot of money etc. for the different excursions,VBP PRP VB DT NN IN NN FW IN DT JJ NNS 
165,0,Concerning the activities that you have listed,VBG DT NNS WDT PRP MD VBD 
248,0,It was too few for this festival .,PRP VBD RB JJ IN DT NN . 
307,0,I think it affects you more than you think .,PRP VBP PRP VBZ PRP JJR IN PRP VBP . 
964,1,you 'll see al the generations who passed here .,PRP MD VB PDT DT NNS WP VBD RB . 
874,0,"I wish you had been there and seen the concert ,","PRP VBP PRP VBD VBN RB CC VBN DT NN , "
334,0,I have chosen as my activities surfing and photography .,PRP VBP VBN IN PRP$ NNS NN CC NN . 
97,0,"It was about Marine , who was our close friend .","PRP VBD IN NNP , WP VBD PRP$ JJ NN . "
1125,1,Hope hearing from you .,VB VBG IN PRP . 
774,0,and we are practising these things .,CC PRP VBP VBG DT NNS . 
1249,1,Some days ago my class had a big discussion about shopping .,DT NNS RB PRP$ NN VBD DT JJ NN IN NN . 
1114,1,And you can see the their clothes also .,CC PRP MD VB PDT PRP$ NNS RB . 
868,0,"14 , March , and is open from 10:00 to 19:00 .","CD , NNP , CC VBZ JJ IN CD IN CD . "
1207,1,I 'd like to know USA .,PRP MD VB TO VB NNP . 
720,0,I never go shopping unless I really need something .,PRP RB VBP VBG RB PRP RB VBP NN . 
1224,1,people will be able to locate us arround the world .,NNS MD VB JJ TO VB PRP IN DT NN . 
302,0,Thank you for asking me for some details .,VB PRP IN VBG PRP IN DT NNS . 
1208,1,I also agree with you about the ticket 's prize .,PRP RB VBP IN PRP IN DT NN POS NN . 
388,0,I think it is worthwhile seeing it .,PRP VBP PRP VBZ JJ VBG PRP . 
235,0,I had enjoyed my wonderful experience so much .,PRP VBD VBN PRP$ JJ NN RB RB . 
1351,1,We are look forward to hearing from you,PRP VBP VB RB IN VBG IN PRP 
899,0,It was hard but also fun work .,PRP VBD JJ CC RB JJ NN . 
305,0,And I was wondering how much money I have to take .,CC PRP VBD VBG WRB JJ NN PRP VBP TO VB . 
974,1,"Modern technology changed our lifes in many ways ,","JJ NN VBD PRP$ NNS IN JJ NNS , "
1097,1,For it the only one that I can travel is July .,IN PRP DT JJ CD IN PRP MD VB VBZ NNP . 
249,0,It is one of the fun things in our life .,PRP VBZ CD IN DT JJ NNS IN PRP$ NN . 
958,1,So the main rule in our school is regarding theachers .,RB DT JJ NN IN PRP$ NN VBZ VBG NNS . 
940,0,"Also , there are two activities that should be filmed .","RB , EX VBP CD NNS WDT MD VB VBN . "
71,0,The restaurant was closed because there was n't any electricity .,DT NN VBD JJ IN EX VBD RB DT NN . 
94,0,"However , we would like to suggest something :","RB , PRP MD VB TO VB NN : "
693,0,"Computers have changed my lifestyle , my opinions about the world .","NNS VBP VBD PRP NN , PRP$ NNS IN DT NN . "
33,0,In contrast to the advertisement everything was disappointing .,IN NN IN DT NN NN VBD JJ . 
1040,1,But how it affect to my daily life ?,CC WRB PRP VBP IN PRP$ JJ NN . 
448,0,So I paid for the ticket .,RB PRP VBD IN DT NN . 
445,0,"The more I saw her , the more determined I became .","DT RBR PRP VBD PRP , DT RBR JJ PRP VBD . "
1035,1,Girls ca n't make up on at school at all .,NNS MD RB VB RP RP IN NN IN DT . 
